               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030971,            0.007964,           0.0021356,             0.99762,             0.99527,              0.9949,             0.79029,            0.015922,           0.0038546,          0.00022366,            0.070002,           0.0033331,           0.0033331
                   1,            0.022594,           0.0052434,          0.00028912,              0.9982,              0.9979,             0.99492,             0.80583,            0.015504,           0.0037297,          0.00014498,            0.039342,           0.0060065,           0.0060065
                   2,            0.021181,           0.0050952,          0.00023193,             0.99815,             0.99824,             0.99491,              0.8103,            0.015516,           0.0037352,          0.00011908,           0.0080222,           0.0080198,           0.0080198
                   3,            0.020265,           0.0049841,          0.00017378,             0.99819,             0.99846,             0.99494,             0.80898,            0.015768,           0.0038141,          9.9335e-05,             0.00703,             0.00703,             0.00703
                   4,            0.019963,           0.0049318,          0.00016134,             0.99815,             0.99849,             0.99494,             0.80976,            0.015869,           0.0038107,          8.0588e-05,             0.00703,             0.00703,             0.00703
                   5,            0.019589,           0.0048702,          0.00013857,             0.99853,              0.9983,             0.99495,             0.81425,            0.015754,           0.0037524,          6.4109e-05,             0.00604,             0.00604,             0.00604
                   6,            0.019291,           0.0048076,          0.00010825,             0.99882,             0.99846,             0.99496,             0.81881,            0.015582,           0.0036859,          5.0267e-05,             0.00505,             0.00505,             0.00505
                   7,            0.019001,           0.0047701,          9.2606e-05,             0.99909,             0.99849,             0.99496,             0.82191,            0.015407,           0.0036357,          4.1208e-05,             0.00406,             0.00406,             0.00406
                   8,            0.018751,           0.0047157,          7.5857e-05,             0.99923,             0.99868,             0.99496,             0.82454,            0.015268,           0.0036027,          3.4786e-05,             0.00307,             0.00307,             0.00307
                   9,            0.018462,             0.00467,          7.0727e-05,             0.99916,               0.999,             0.99496,             0.82658,            0.015151,           0.0035774,          3.0326e-05,             0.00208,             0.00208,             0.00208
